year,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024,45,Shimmer Bridge,74353880.65755087,76685710.74189852,151039591.39944938,-2331830.0843476523
2024,61,XSwap,75296315.92322437,62571253.129339,137867569.05256337,12725062.79388537
2024,78,Threshold Network,48400816.44845892,86789718.22596578,135190534.6744247,-38388901.77750686
2024,48,Rootstock Powpeg Bridge,45488574.86713387,54621542.17704036,100110117.04417424,-9132967.309906492
2024,18,Rainbow Bridge,37936126.72005172,56121867.4974439,94057994.21749562,-18185740.777392182
2024,34,Satellite (Powered by Axelar),30951217.90907588,50945954.4648992,81897172.37397508,-19994736.555823322
2024,79,Zircuit Bridge,50237751.06106946,13426132.164346661,63663883.225416124,36811618.89672279
2024,42,pNetwork,50692394.25242111,10929872.792419333,61622267.04484044,39762521.46000178
2024,55,Fuse Bridge,29165032.041592423,27195520.26182777,56360552.30342019,1969511.7797646513
2024,68,MiniBridge,1217525.6989954957,40195234.42123845,41412760.120233946,-38977708.72224296
2024,65,MeMeBridge,12146631.04420768,12481394.251426928,24628025.29563461,-334763.20721924934
2024,22,Allbridge Classic,9798578.34008917,13969752.427699592,23768330.76778876,-4171174.087610423
2024,70,FastBTC,7705570.86346565,14930663.85918775,22636234.7226534,-7225092.9957221
2024,53,Rootstock Token Bridge,7883249.584755487,5375736.313037514,13258985.897793,2507513.2717179726
2024,66,oooo,4521334.12517115,4527210.446208412,9048544.571379563,-5876.321037262242
2024,69,CometBridge,173283.568994243,1565755.419769272,1739038.9887635151,-1392471.850775029
2024,72,Mint,815972.1352545383,702488.0515127743,1518460.1867673125,113484.08374176401
2024,71,Crowdswap,234944.89377190173,442481.7117098881,677426.6054817899,-207536.8179379864
2024,67,Bunnyfi,296461.6575649815,300371.8393558016,596833.4969207831,-3910.181790820087
2024,64,Helixbox,110330.14589269078,106125.97916870109,216456.12506139188,4204.166723989702
2024,56,MES Protocol,14403.781030795999,188622.66799711768,203026.44902791368,-174218.88696632165
2024,81,PowPeg Fast Mode (Flyover),9545.5,925.72388013,10471.22388013,8619.77611987
2025,84,LayerZero,60107240488.97244,51891347839.46006,111998588328.43251,8215892649.512378
2025,80,Hyperliquid,34814738867.61902,30638262371.70347,65453001239.322495,4176476495.9155526
2025,51,Circle CCTP,30674402714.290783,31213907828.466805,61888310542.75759,-539505114.1760218
2025,12,Stargate,14694667054.95272,14425736485.64795,29120403540.60067,268930569.3047716
2025,77,Wormhole,14140038592.726377,14139882353.8861,28279920946.61248,156238.84027658962
2025,92,USDT0,14782593926.111494,10157944950.2908,24940538876.402294,4624648975.820694
2025,19,Across,10332773167.69088,10342624269.532803,20675397437.223682,-9851101.841923153
2025,20,deBridge,8257901933.313065,8119409326.266707,16377311259.579771,138492607.0463571
2025,28,Meson,7644847882.763397,7644380532.495422,15289228415.25882,467350.26797500195
2025,24,IBC,7181037577.628444,6824423580.808534,14005461158.436977,356613996.8199097
2025,2,Arbitrum Bridge,1675874074.93667,8610814712.531752,10286688787.468422,-6934940637.595081
2025,96,Chainlink CCIP,4011269017.3947954,4731346537.05332,8742615554.448114,-720077519.6585245
2025,1,Polygon PoS Bridge,3634687341.528356,2989962177.317869,6624649518.846226,644725164.2104867
2025,76,Hyperlane,2716140341.2839737,2712510475.5737906,5428650816.857764,3629865.710183567
2025,4,Optimism Gateway,1587860038.1657972,2908450813.4025736,4496310851.568371,-1320590775.2367764
2025,32,Squid (Powered by Axelar),1838184725.3475506,2272377169.8921037,4110561895.2396545,-434192444.544553
2025,58,Orbiter Finance,501600202.46116364,3579825916.666199,4081426119.1273627,-3078225714.205035
2025,16,Gnosis Bridge,1416493660.886476,1516489927.2559028,2932983588.142379,-99996266.36942653
2025,95,Relay,1604213949.0,1096093014.0,2700306963.0,508120935.0
2025,87,Lighter,1334456608.5751944,1122149758.9967113,2456606367.5719056,212306849.57848302
2025,91,Everclear,1170558844.9137082,1212719038.2833848,2383277883.197093,-42160193.369676635
2025,27,Symbiosis,808034977.1055886,804486355.451038,1612521332.5566266,3548621.6545505757
2025,17,Axelar,838012737.324763,721976124.7890322,1559988862.1137953,116036612.5357307
2025,78,Threshold Network,868510953.404766,666095271.4860544,1534606224.8908205,202415681.91871154
2025,10,Celer cBridge,765790812.6660526,766994441.1145992,1532785253.7806518,-1203628.4485466182
2025,29,Base Bridge,1033171698.0033443,493044591.104973,1526216289.1083174,540127106.8983713
2025,30,Mantle Bridge,726782957.8809867,713540917.3651679,1440323875.2461545,13242040.515818926
2025,15,Core Bitcoin Bridge,760646579.0840707,673084485.3099508,1433731064.3940215,87562093.77411988
2025,35,CrossCurve,697439491.5621854,689135679.9744785,1386575171.536664,8303811.587706925
2025,39,rhino.fi,692526106.5835345,623179241.920446,1315705348.5039804,69346864.66308841
2025,11,Synapse,477397564.74711156,481788988.1737458,959186552.9208574,-4391423.426634237
2025,3,Avalanche Bridge,491611955.46422166,458599485.33368915,950211440.7979108,33012470.13053249
2025,49,Garden,428133799.832536,429067732.9386345,857201532.7711705,-933933.1060985378
2025,60,Allbridge Core,419594003.4511493,418925141.7953153,838519145.2464646,668861.6558339893
2025,75,Layerswap,371768513.419153,431239818.6370108,803008332.0561638,-59471305.21785784
2025,73,Sui Bridge,39874058.90665079,459837481.8506405,499711540.75729126,-419963422.9439897
2025,47,Butter Network,215981634.600547,207793503.45398098,423775138.054528,8188131.1465659775
2025,98,Cashmere,211732062.0,209443254.0,421175316.0,2288808.0
2025,23,Polygon zkEVM Bridge,387808434.5112582,0.0,387808434.5112582,387808434.5112582
2025,88,Movement,178529727.86574268,155812463.10655305,334342190.9722957,22717264.75918964
2025,44,Interport Finance,311082629.90795094,1920595.8597644889,313003225.7677154,309162034.0481864
2025,41,Wan Bridge,140539229.5689885,137407842.19369414,277947071.7626827,3131387.375294363
2025,54,Nitro (by Router Protocol),159384453.85691258,68898793.60727067,228283247.46418327,90485660.24964193
2025,46,yBridge by xSync Network,0.0,188098819.46354637,188098819.46354637,-188098819.46354637
2025,26,ZKsync Era Bridge,182351504.18125838,1433753.9918863429,183785258.17314473,180917750.18937203
2025,74,RetroBridge,88966511.05483267,89186531.36030188,178153042.41513455,-220020.30546920295
2025,79,Zircuit Bridge,24094177.354127705,116904765.78863154,140998943.14275923,-92810588.43450384
2025,13,Hop,68422086.91434097,66555684.42178429,134977771.33612525,1866402.492556686
2025,82,UniversalX,63807281.1774916,57638500.22985256,121445781.40734416,6168780.947639041
2025,37,Manta Pacific Bridge,6828588.953648095,103582763.68460757,110411352.63825566,-96754174.73095946
2025,97,Agglayer,33532011.17536418,17998974.969495628,51530986.14485981,15533036.205868553
2025,22,Allbridge Classic,31559505.710598245,15534367.525317088,47093873.23591533,16025138.18528116
2025,65,MeMeBridge,19842043.885676954,20311869.39419688,40153913.27987383,-469825.50851992384
2025,50,Mode Network,8888219.220677441,28039625.984962065,36927845.205639504,-19151406.764284622
2025,72,Mint,16969833.809127327,13147952.974256497,30117786.78338382,3821880.834870832
2025,70,FastBTC,15204129.58066097,12986051.48888437,28190181.06954534,2218078.0917766
2025,83,Eclipse Canonical Bridge,26678389.548707403,0.0,26678389.548707403,26678389.548707403
2025,34,Satellite (Powered by Axelar),5624978.936431094,20991872.35703508,26616851.293466177,-15366893.420603989
2025,9999,zkBridge,8316447.500123962,17660380.706080023,25976828.206203982,-9343933.20595606
2025,81,PowPeg Fast Mode (Flyover),7093813.42599366,13960774.047461962,21054587.473455623,-6866960.621468303
2025,48,Rootstock Powpeg Bridge,6796205.69838093,12658250.93173145,19454456.63011238,-5862045.23335052
2025,86,Fuel,5259143.401238476,13706420.973018914,18965564.37425739,-8447277.571780438
2025,94,Teleswap,7241510.8137,7275061.511,14516572.3247,-33550.69730000003
2025,68,MiniBridge,622824.5223701531,13604951.33327718,14227775.855647333,-12982126.810907027
2025,18,Rainbow Bridge,1892172.793159445,5959656.811171179,7851829.6043306235,-4067484.0180117334
2025,53,Rootstock Token Bridge,1773946.4831522836,5498879.587923549,7272826.0710758325,-3724933.1047712653
2025,93,Pheasant Network,3641117.3899734914,3242661.1524797585,6883778.54245325,398456.237493733
2025,61,XSwap,1986642.375591569,3651777.544276807,5638419.919868376,-1665135.1686852376
2025,59,Connext,2077274.553713864,2748178.46517123,4825453.018885094,-670903.9114573661
2025,55,Fuse Bridge,1450577.1793556814,2546968.807990083,3997545.9873457644,-1096391.6286344016
2025,69,CometBridge,421903.27421515627,1322400.1941703104,1744303.4683854666,-900496.919955154
2025,89,Asset Chain Bridge,823140.3215671104,273414.125463121,1096554.4470302314,549726.1961039894
2025,85,TRAIN Protocol,93028.96341750649,629320.4325583401,722349.3959758467,-536291.4691408337
2025,71,Crowdswap,201262.69247491745,251499.14549399,452761.8379689075,-50236.45301907254
2025,45,Shimmer Bridge,157700.95313680495,176492.89360393662,334193.8467407416,-18791.940467131684
2025,64,Helixbox,86464.41474009723,108193.56574918791,194657.98048928514,-21729.151009090674
2025,67,Bunnyfi,1236.0223352587122,36928.088539154865,38164.110874413585,-35692.06620389616
2025,90,InterSoon,2222.5,2222.5,4445.0,0.0
2025,56,MES Protocol,0.02792729268,0.0,0.02792729268,0.02792729268
2025,42,pNetwork,0.0,0.0,0.0,0.0
