month,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2025-08,4,Optimism Gateway,82815861.85881609,355243604.050019,438059465.9088351,-272427742.19120294
2025-09,4,Optimism Gateway,133113461.23192196,159703503.14176327,292816964.37368524,-26590041.909841314
2022-10,10,Celer cBridge,36112511.857670195,33912913.92234895,70025425.78001913,2199597.9353212467
2022-11,10,Celer cBridge,375635031.7422511,276028494.1420441,651663525.8842952,99606537.60020697
2022-12,10,Celer cBridge,533480584.58093274,616829816.4530815,1150310401.0340142,-83349231.87214877
2023-01,10,Celer cBridge,330557543.32937896,331958846.9488642,662516390.2782432,-1401303.6194852572
2023-02,10,Celer cBridge,428309770.23785126,429113026.54144263,857422796.7792939,-803256.303591392
2023-03,10,Celer cBridge,522036867.0017073,519058910.93862593,1041095777.9403332,2977956.0630814107
2023-04,10,Celer cBridge,381896640.48329914,376229168.5223155,758125809.0056146,5667471.960983603
2023-05,10,Celer cBridge,308844266.38238597,308384593.30189455,617228859.6842805,459673.08049139194
2023-06,10,Celer cBridge,115251647.82328247,113167625.94675212,228419273.77003458,2084021.8765303472
2023-07,10,Celer cBridge,94455809.96825452,92197685.43015797,186653495.3984125,2258124.5380965453
2023-08,10,Celer cBridge,39607738.61268017,39504575.607507385,79112314.22018756,103163.00517277824
2023-09,10,Celer cBridge,6426188.704586779,7029617.245060722,13455805.949647501,-603428.5404739438
2023-10,10,Celer cBridge,11603563.564937277,14487205.32703831,26090768.891975585,-2883641.7621010356
2023-11,10,Celer cBridge,19854758.258158885,19088489.63406906,38943247.89222794,766268.624089826
2023-12,10,Celer cBridge,137054569.62248722,138067220.08292088,275121789.7054081,-1012650.4604336461
2024-01,10,Celer cBridge,179758041.01996085,165761030.67904586,345519071.6990067,13997010.340915
2024-02,10,Celer cBridge,270692664.05851775,275082139.2089995,545774803.2675173,-4389475.150481753
2024-03,10,Celer cBridge,513092651.9764164,509175014.4551992,1022267666.4316156,3917637.5212172475
2024-04,10,Celer cBridge,395792807.1281324,398964015.74776703,794756822.8758994,-3171208.619634632
2024-05,10,Celer cBridge,265348913.84343538,267865259.06434652,533214172.9077819,-2516345.220911133
2024-06,10,Celer cBridge,272239154.7183863,277079559.6251849,549318714.3435712,-4840404.90679857
2024-07,10,Celer cBridge,161257759.04924738,149223394.52743196,310481153.57667935,12034364.521815432
2024-08,10,Celer cBridge,98680044.32917726,96331134.73900294,195011179.0681802,2348909.5901743146
2024-09,10,Celer cBridge,67554337.72938158,67592424.44074966,135146762.17013124,-38086.71136808989
2024-10,10,Celer cBridge,95353743.69257924,99418744.39554667,194772488.0881259,-4065000.702967437
2024-11,10,Celer cBridge,105126878.00892115,104840266.80574583,209967144.814667,286611.2031753252
2024-12,10,Celer cBridge,171634606.63388848,173189997.87839663,344824604.5122851,-1555391.2445081477
2025-01,10,Celer cBridge,119977970.84692538,123925449.90112253,243903420.74804792,-3947479.054197154
2025-02,10,Celer cBridge,72726419.1870722,74272537.15208602,146998956.33915824,-1546117.9650138195
2025-03,10,Celer cBridge,75872700.02434191,74648183.0476862,150520883.0720281,1224516.9766557147
2025-04,10,Celer cBridge,47914012.7243259,46915279.68545786,94829292.40978377,998733.0388680347
2025-05,10,Celer cBridge,50585516.84688976,50989556.9658459,101575073.81273565,-404040.11895614304
2025-06,10,Celer cBridge,83726919.25128466,82629588.36097087,166356507.6122555,1097330.8903137879
2025-07,10,Celer cBridge,103468410.1474841,101921895.6687807,205390305.81626478,1546514.4787034034
2025-08,10,Celer cBridge,81493992.525622,83119243.5269592,164613236.0525812,-1625251.0013371946
2025-09,10,Celer cBridge,130024871.11210665,128572706.8056899,258597577.91779655,1452164.3064167523
2022-10,11,Synapse,33831442.74242215,37193492.796968944,71024935.5393911,-3362050.054546794
2022-11,11,Synapse,207470176.50023875,205432165.2163169,412902341.71655566,2038011.2839218357
2022-12,11,Synapse,136301518.79405698,142861571.04968244,279163089.84373945,-6560052.255625458
2023-01,11,Synapse,135076549.1004856,132136422.041529,267212971.1420146,2940127.0589565868
2023-02,11,Synapse,303257491.7133689,300974640.30171746,604232132.0150863,2282851.4116514307
2023-03,11,Synapse,398009104.0096738,401525849.50447917,799534953.5141529,-3516745.4948053765
2023-04,11,Synapse,213551771.29630005,218119501.43546978,431671272.73176986,-4567730.139169728
2023-05,11,Synapse,148752162.83825305,150072037.65363258,298824200.4918856,-1319874.815379554
2023-06,11,Synapse,81994545.0244007,93188356.42443174,175182901.44883245,-11193811.400031043
2023-07,11,Synapse,89349228.39134221,105936015.56855671,195285243.95989892,-16586787.177214494
2023-08,11,Synapse,134184269.96256393,117384397.96640737,251568667.92897132,16799871.996156547
2023-09,11,Synapse,46516941.67702973,48123007.37473631,94639949.05176604,-1606065.6977065762
2023-10,11,Synapse,64593534.20050767,60480418.23926222,125073952.4397699,4113115.9612454427
2023-11,11,Synapse,93944242.29312457,95772447.90368791,189716690.19681248,-1828205.6105633397
2023-12,11,Synapse,146181069.78493536,148047500.39471453,294228570.1796499,-1866430.6097791945
2024-01,11,Synapse,159142871.84748107,165697077.80700696,324839949.654488,-6554205.959525878
2024-02,11,Synapse,786760337.2156476,815912983.0475117,1602673320.2631593,-29152645.831864107
2024-03,11,Synapse,1955657315.755752,1988219127.8605807,3943876443.6163325,-32561812.104828633
2024-04,11,Synapse,161259222.93744537,183276746.80773896,344535969.74518436,-22017523.8702936
2024-05,11,Synapse,245251745.42700055,279073048.78062993,524324794.2076305,-33821303.35362939
2024-06,11,Synapse,350489051.76778775,372597373.9344329,723086425.7022207,-22108322.166645143
2024-07,11,Synapse,414640672.48057425,414144083.9601123,828784756.4406865,496588.5204619942
2024-08,11,Synapse,213156853.5680067,215797479.69926924,428954333.2672759,-2640626.131262553
2024-09,11,Synapse,171991603.53815705,168363417.26634052,340355020.8044976,3628186.2718165442
2024-10,11,Synapse,239353548.0884833,240225499.22913754,479579047.3176209,-871951.140654244
2024-11,11,Synapse,347492465.1507627,341156232.0510033,688648697.2017659,6336233.099759377
2024-12,11,Synapse,286256991.56381047,290434470.1378489,576691461.7016593,-4177478.5740384404
2025-01,11,Synapse,198685465.6962377,203810725.62343425,402496191.319672,-5125259.9271965325
2025-02,11,Synapse,116577833.53564297,116350358.71612296,232928192.25176594,227474.81952002156
2025-03,11,Synapse,38290927.30807914,36097122.692883424,74388050.00096256,2193804.615195712
2025-04,11,Synapse,24203505.878937334,27780845.29099412,51984351.16993145,-3577339.412056785
2025-05,11,Synapse,23381352.747543536,22979552.677074164,46360905.4246177,401800.0704693734
2025-06,11,Synapse,23941990.39481516,22962710.065852113,46904700.460667275,979280.3289630513
2025-07,11,Synapse,18927773.1882701,19618796.94370126,38546570.13197136,-691023.7554311609
2025-08,11,Synapse,17272495.530795284,17538660.09360693,34811155.62440221,-266164.5628116478
2025-09,11,Synapse,16116220.466790335,14650216.070076605,30766436.53686694,1466004.3967137302
2022-11,12,Stargate,529747196.18485,552791752.730453,1082538948.915303,-23044556.545602996
2022-12,12,Stargate,387006633.93565375,398581538.33826995,785588172.2739238,-11574904.402616218
2023-01,12,Stargate,154413130.34970963,165470261.41483068,319883391.7645403,-11057131.065121043
2023-02,12,Stargate,319189439.22063196,345107856.9278607,664297296.1484927,-25918417.707228694
2023-03,12,Stargate,836418323.4308554,872645988.0872816,1709064311.518137,-36227664.656426236
2023-04,12,Stargate,2211392430.041207,2275684658.238733,4487077088.27994,-64292228.19752599
2023-05,12,Stargate,2506704980.53455,2703057901.3716,5209762881.90615,-196352920.83705
2023-06,12,Stargate,1831605125.8236969,2067714930.4336238,3899320056.2573204,-236109804.6099268
2023-07,12,Stargate,2572972141.120539,2611639934.1730824,5184612075.293622,-38667793.052543335
2023-08,12,Stargate,2121287265.7052743,2191824543.36218,4313111809.067454,-70537277.65690601
2023-09,12,Stargate,1212752395.2468963,1282154544.8992333,2494906940.1461296,-69402149.65233701
2023-10,12,Stargate,782076461.0698167,863451335.2325855,1645527796.3024023,-81374874.16276877
2023-11,12,Stargate,629141645.1424508,709914874.8330355,1339056519.9754863,-80773229.6905846
2023-12,12,Stargate,752388845.1502899,808710307.3723537,1561099152.5226436,-56321462.222063795
2024-01,12,Stargate,827381669.0311141,909873112.4873245,1737254781.5184386,-82491443.45621032
2024-02,12,Stargate,1088152698.7712393,1238542929.0585814,2326695627.8298206,-150390230.2873421
2024-03,12,Stargate,1930515338.2991743,2151831424.6472197,4082346762.946394,-221316086.34804553
2024-04,12,Stargate,1586853270.6862695,1759016358.9844158,3345869629.6706853,-172163088.29814625
2024-05,12,Stargate,368925382.6318982,444464015.0569045,813389397.6888027,-75538632.42500624
2024-06,12,Stargate,791329764.1927811,807770277.2129006,1599100041.4056818,-16440513.020119535
2024-07,12,Stargate,1115906727.2369022,1123704059.2011406,2239610786.4380426,-7797331.964238506
2024-08,12,Stargate,1314044490.0285711,1296568823.0581386,2610613313.0867095,17475666.970432542
2024-09,12,Stargate,949253537.9017084,941780461.3331702,1891033999.2348785,7473076.5685381945
2024-10,12,Stargate,1476439091.0465603,1472310023.3794475,2948749114.4260077,4129067.6671127453
2024-11,12,Stargate,1417613903.0291,1422838736.5908444,2840452639.619944,-5224833.561744474
