month;bridgeId;bridgeName;totalUSD;SA_Tier
2024-02;2;Arbitrum Bridge;1517200512;SA33
2024-02;1;Polygon PoS Bridge;723685167,7;SA22
2024-02;10;Celer cBridge;545774803,3;SA22
2024-02;39;rhino.fi;505232233,2;SA11
2024-02;4;Optimism Gateway;496739220,6;SA33
2024-02;28;Meson;412913359,8;SA11
2024-02;49;Garden;374105883,8;SA22
2024-02;13;Hop;278261414,8;SA33
2024-02;20;deBridge;273043011,9;SA22
2024-02;32;Squid (Powered by Axelar);230669126,7;SA21
2024-02;30;Mantle Bridge;152589845,6;SA33
2024-02;16;Gnosis Bridge;152334061,4;SA22
2024-02;45;Shimmer Bridge;97510110,42;SA22
2024-02;50;Mode Network;93680562,49;SA33
2024-02;3;Avalanche Bridge;70644425,85;SA12
2024-02;27;Symbiosis;68320909,67;SA11
2024-02;37;Manta Pacific Bridge;62311116,75;SA33
2024-02;44;Interport Finance;28921733,02;SA11
2024-02;23;Polygon zkEVM Bridge;22317816,55;SA32
2024-02;35;CrossCurve;20311332,49;SA22
2024-02;18;Rainbow Bridge;5393201,477;SA31
2024-02;46;yBridge by xSync Network;4537263,656;SA22
2024-02;54;Nitro (by Router Protocol);4181605,631;SA22
2024-02;34;Satellite (Powered by Axelar);2529472,507;SA21
2024-02;22;Allbridge Classic;1112503,617;SA22
2024-02;42;pNetwork;769287,1982;SA22
2024-02;48;Rootstock Powpeg Bridge;635763,2032;SA22
2024-02;53;Rootstock Token Bridge;385749,7045;SA22
2024-03;12;Stargate;4082346763;SA22
2024-03;11;Synapse;3943876444;SA22
2024-03;58;Orbiter Finance;3460312231;SA11
2024-03;51;Circle CCTP;2207733391;SA11
2024-03;19;Across;2139145873;SA33
2024-03;26;ZKsync Era Bridge;1298816512;SA32
2024-03;2;Arbitrum Bridge;1073818296;SA33
2024-03;10;Celer cBridge;1022267666;SA22
2024-03;39;rhino.fi;752055450,8;SA11
2024-03;1;Polygon PoS Bridge;606220165,5;SA22
2024-03;20;deBridge;597010848,2;SA22
2024-03;4;Optimism Gateway;575160197,4;SA33
2024-03;29;Base Bridge;526915101,5;SA33
2024-03;13;Hop;420349881,9;SA33
